标题,简介,豆瓣评分,创建时间
PBC Season 1,2022 / 美国 / Michael J. Gallagher Joshua Sims / Jessica Sarah Flaum Christian A. Pierce,0.0,2025-05-09 20:41:07
企鹅人,2024 / 美国 / 剧情 犯罪 / 克雷格·卓贝 凯文·布瑞 海伦·谢费 詹妮弗·盖辛格 / 科林·法瑞尔 莱齐·费利兹,8.7,2025-05-06 22:12:12
会计刺客,2016 / 美国 / 动作 惊悚 犯罪 / 加文·欧康诺 / 本·阿弗莱克 安娜·肯德里克,7.6,2025-04-29 22:26:59
告白,2010 / 日本 / 剧情 悬疑 / 中岛哲也 / 松隆子 冈田将生,8.8,2025-04-28 23:05:44
成瘾剂量,2021 / 美国 / 剧情 / 巴瑞·莱文森 迈克尔·科斯塔 派翠西亚·里根 丹尼·斯特朗 / 迈克尔·基顿 彼得·萨斯加德,9.3,2025-04-25 18:57:20
道格拉斯被取消了,2024 / 英国 / 剧情 喜剧 / 本·帕尔马 / 休·博纳维尔 凯伦·吉兰,9.4,2025-04-12 14:20:59
混沌少年时 第一季,2025 / 英国 / 剧情 悬疑 惊悚 犯罪 / 菲利普·巴兰蒂尼 / 欧文·库珀 斯蒂芬·格拉汉姆,8.7,2025-03-26 20:05:53
初步举证,2022 / 英国 / 剧情 / 贾斯汀·马丁 / 朱迪·科默,9.5,2025-03-05 09:00:52
真相捕捉 第二季,2022 / 英国 / 悬疑 惊悚 犯罪 / 詹姆斯·肯特 菲利帕·兰格戴尔 / 荷丽黛·格兰杰 帕帕·厄希度,9.3,2025-01-08 23:12:45
照明商店,2024 / 韩国 / 剧情 悬疑 奇幻 / 金熙元 / 朱智勋 朴宝英,8.4,2024-12-26 11:16:12
里斯本丸沉没,2023 / 中国大陆 / 纪录片 / 方励 / 方励 托尼·班纳姆,9.3,2024-09-14 22:30:18
疑犯追踪  第一季,2011 / 美国 / 剧情 悬疑 犯罪 / 大卫·塞梅尔 理查德·J·刘易斯 史蒂文·德保罗 查尔斯·比森 科林·巴克西 丹尼斯·史密斯 弗雷德里克·E·O·托耶 米兰·赫伊洛夫 阿莱克斯·扎克雷泽夫斯基 杰弗里·G·亨特 斯蒂芬·威廉姆斯 布拉德·安德森 克里斯·费舍 大卫·凡·安肯 杰夫·T·托马斯 拉里·滕 斯蒂芬·塞梅尔 凯文·布瑞 / 迈克尔·爱默生 吉姆·卡维泽,9.3,2024-05-28 13:07:41
尘封十三载,2023 / 中国大陆 / 悬疑 犯罪 / 刘海波 / 陈建斌 陈晓,8.0,2024-05-18 09:49:06
家有姐妹,2022 / 中国大陆 / 剧情 喜剧 / 张笑赫 太田允 / 杨超越 柳岩,0.0,2024-01-25 12:37:03
繁花,2023 / 中国大陆 / 剧情 爱情 / 王家卫 / 胡歌 马伊琍,8.7,2024-01-05 00:40:13
心灵奇旅,2020 / 美国 / 动画 音乐 奇幻 / 彼特·道格特 凯普·鲍尔斯 / 杰米·福克斯 蒂娜·菲,8.7,2023-12-14 13:07:56
化学课,2023 / 美国 / 剧情 / 萨拉·阿迪纳·史密斯 / 布丽·拉尔森 刘易斯·普尔曼,8.6,2023-11-30 21:24:02
白色巨塔,2003 / 日本 / 剧情 / 西谷弘 河野圭太 村上正典 岩田和行 / 唐泽寿明 江口洋介,9.7,2023-11-13 11:24:39
万神殿 第一季,2022 / 美国 / 剧情 动作 科幻 动画 / David Dwooman Woo 梅尔·祖耶 埃德·塔德姆 迈卡·古奈尔 朱诺·李 / 凯蒂·张 保罗·达诺,8.8,2023-10-28 22:57:22
傲骨之战 第一季,2017 / 美国 / 剧情 / 布鲁克·肯尼迪 / 克里斯汀·芭伦斯基 库什·珍宝,9.2,2023-09-10 14:58:44
查莉成长日记 第一季,2010 / 美国 / 喜剧 家庭 / Shelley Jensen / 杰森·多雷 布丽奇·门德勒,9.2,2023-07-25 16:37:06
一起同过窗 第一季,2016 / 中国大陆 / 剧情 / 毕鑫业 / 武雨泽 徐晓璐,9.1,2023-06-22 23:53:24
魔鬼代言人,1997 / 美国 德国 / 剧情 悬疑 惊悚 / 泰勒·海克福德 / 基努·里维斯 阿尔·帕西诺,8.4,2023-06-15 23:36:52
平凡之路,2023 / 中国大陆 / 剧情 喜剧 / 刘进 / 郭麒麟 金晨,7.2,2023-05-06 01:05:02
雷恩菲尔德,2023 / 美国 / 喜剧 恐怖 奇幻 / 克里斯·麦凯 / 尼古拉斯·霍尔特 尼古拉斯·凯奇,6.1,2023-04-28 23:14:24
性/生活 第一季,2021 / 美国 / 剧情 喜剧 爱情 / 帕特丽夏·罗兹玛 Jessika Borsiczky 谢雷·福克森 Samira Radsi / 莎拉·夏希 迈克·沃格尔,6.1,2023-03-09 16:23:05
强风吹拂,2018 / 日本 / 动画 运动 / 野村和也 板津匡览 江副仁美 佐藤雅子 丝贺慎太郎 镰田祐辅 / 大塚刚央 丰永利行,9.6,2023-02-18 15:49:04
6/45,2022 / 韩国 / 剧情 喜剧 / 朴奎泰 / 高庚杓 李伊庚,7.6,2023-01-22 17:17:40
花与爱丽丝杀人事件,2015 / 日本 / 喜剧 动画 / 岩井俊二 / 苍井优 铃木杏,8.2,2023-01-14 14:54:05
猎魔人 第一季,2019 / 美国 波兰 / 动作 奇幻 冒险 / 阿利克·萨哈罗夫 夏洛特·布伦德斯特伦 亚历克斯·加西亚·洛佩斯 马克·约布斯特 / 亨利·卡维尔 弗蕾娅·艾伦,7.5,2022-12-25 13:36:20
卿卿日常,2022 / 中国大陆 / 喜剧 爱情 古装 / 赵启辰 / 白敬亭 田曦薇,7.2,2022-12-23 10:57:40
关于我和鬼变成家人的那件事,2022 / 中国台湾 / 喜剧 悬疑 同性 奇幻 / 程伟豪 / 许光汉 林柏宏,8.1,2022-12-21 22:57:46
实习医生格蕾 第一季,2005 / 美国 / 剧情 爱情 / 珊达·莱梅斯 / 艾伦·旁派 吴珊卓,8.9,2022-12-16 14:39:43
一念永恒 第一季,2020 / 中国大陆 / 剧情 动画 古装 / 苏晓光 / 苏尚卿 郭浩然,7.6,2022-12-16 14:39:15
流人 第二季,2022 / 英国 / 剧情 惊悚 / 杰里米·洛夫林 / 加里·奥德曼 杰克·劳登,9.0,2022-12-13 00:32:33
佩小姐的奇幻城堡,2016 / 美国 / 剧情 奇幻 冒险 / 蒂姆·波顿 / 阿萨·巴特菲尔德 伊娃·格林,7.2,2022-12-08 00:04:00
