标题,简介,豆瓣评分,创建时间
追风筝的人,[美] 卡勒德·胡赛尼 / 2006 / 上海人民出版社,8.9,2025-05-05 13:45:38
组织部来了个年轻人,王蒙 / 2021 / 花城出版社,8.1,2025-05-05 13:44:35
公司财务的法律规制,刘燕 / 2021 / 北京大学出版社,9.4,2025-05-03 18:43:28
宣传,刘海龙 / 2020 / 中国大百科全书出版社,9.4,2025-04-26 14:34:32
寻找百忧解,陈百忧 / 2023 / 台海出版社,8.2,2025-04-26 13:35:00
趋势交易,[美]安德烈亚斯 F. 克列诺（Andreas F. Clenow） / 2017 / 机械工业出版社,8.4,2025-04-12 21:30:57
股票多因子模型实战：Python核心代码解析,陆一潇 / 2021 / 电子工业出版社,7.7,2025-04-12 21:30:36
因子投资,石川 刘洋溢 连祥斌 / 2020 / 电子工业出版社,8.9,2025-04-12 21:30:13
计算机程序的构造和解释(原书第2版),[美] Harold Abelson [美] Gerald Jay Sussman [美] Julie Sussman / 2004 / 机械工业出版社,9.5,2025-04-05 22:40:24
小屁孩日记,杰夫·金尼 / 2012 / 新世纪出版社,8.8,2025-04-01 16:24:56
8050问题,(日) 川北稔 / 2025 / 广西师范大学出版社,7.9,2025-03-30 13:24:57
一人公司,保羅．賈維 Paul Jarvis / 2019 / 遠流出版事業股份有限公司,7.3,2025-03-14 20:41:35
仿制药的真相,[美] 凯瑟琳·埃班 / 2020 / 民主与建设出版社,8.7,2025-03-13 12:42:50
这是苹果吗也许是吧,[日]吉竹伸介 爱心书童书 出品 / 2019 / 甘肃少年儿童出版社,9.2,2025-03-10 15:12:21
Head First Java（第二版·中文版）,"Kathy Sierra,Bert Bates 著 杨尊一 编译 张然等 改编 / 2007 / 中国电力出版社",8.7,2025-02-22 12:23:44
格外的活法,[日] 吉井忍 / 2025 / 文汇出版社,8.3,2025-02-21 21:04:32
高级编译器设计与实现,（美）马其尼克 / 2005 / 机械工业出版社,8.9,2025-01-24 09:09:56
现代编译原理,[美]Andrew W.Appel [美]MaiaGinsburg / 2018 / 人民邮电出版社,8.8,2025-01-24 09:09:46
编译原理,Alfred V. Aho Monica S.Lam Ravi Sethi Jeffrey D. Ullman / 2008年12月 / 机械工业出版社,9.0,2025-01-24 09:09:30
平衡掌控者,似水无痕 / 2017 / 电子工业出版社,7.0,2025-01-22 15:53:39
写给大家看的设计书（第4版）,Robin Williams / 2016 / 人民邮电出版社,8.6,2025-01-22 15:51:52
做难而正确的事,[以] 尤里·莱文 / 2024 / 浙江科学技术出版社,7.3,2024-12-29 21:43:48
人月神话(40周年中文纪念版),"(美) 布鲁克斯(Brooks, F. P.)  著 / 2015 / 清华大学出版社",8.3,2024-12-26 20:02:22
债券投资实战,龙红亮 / 2018 / 机械工业出版社,8.5,2024-12-26 10:07:17
深入理解计算机系统 (原书第3版),Randal E. Bryant David O'Hallaron / 2016 / 机械工业出版社,9.8,2024-12-25 17:40:24
真需求,梁宁 / 2024 / 新星出版社,8.4,2024-12-16 22:31:55
程序化广告 个性化精准投放实用手册,梁丽丽 / 2017 / 人民邮电出版社,7.9,2024-12-15 00:13:01
财务共享的智能化升级：业财税一体化的深度融合,贾小强 郝宇晓 卢闯 / 2020 / 人民邮电出版社,6.5,2024-12-06 19:38:18
毛泽东选集,毛泽东 / 1991 / 人民出版社,9.6,2024-11-29 20:50:24
潜规则（修订版）,吴思 / 2009 / 复旦大学出版社,8.3,2024-11-29 20:50:03
上帝与新物理学,[英] 保罗·戴维斯 / 2018 / 湖南科学技术出版社,8.7,2024-11-29 20:49:31
哲学之树,[美] 庞思奋 / 2022 / 生活·读书·新知三联书店,9.0,2024-11-29 20:48:26
写给大家看的设计书（第3版）,[美] Robin Williams / 2009 / 人民邮电出版社,8.6,2024-11-29 20:48:08
奥尔特曼传,周恒星 / 2024 / 浙江科学技术出版社,7.8,2024-11-22 22:07:23
往里走，安顿自己,(美) 许倬云 冯俊文 / 2022 / 北京日报出版社,7.8,2024-11-10 22:39:08
中小企业会计全盘账 从企业设立、经营期间到期末账务处理全流程指南,张雪莲 / 2021 / 人民邮电出版社,0.0,2024-11-10 17:52:13
从财务分析到经营分析,袁国辉 / 2022 / 人民邮电出版社,6.7,2024-11-10 16:55:07
迟到的东南亚,查雯 / 2022 / 中国社会科学出版社,7.7,2024-10-27 18:31:39
中国经济新常态与政策取向,吴敬琏 刘鹤 樊纲 易纲 等 / 2015 / 中国经济出版社,7.6,2024-09-27 08:51:23
财务精英进阶指南：业务+税务+法务协同操作实务及风险防范,中国铁道出版社,0.0,2024-09-18 22:54:25
当代中国政府与政治（第二版）,景跃进 主编 陈明明 主编 肖滨 主编 / 2024 / 中国人民大学出版社,9.3,2024-09-18 20:20:06
MySQL是怎样运行的,小孩子4919 / 2020 / 人民邮电出版社,9.4,2024-09-18 12:17:11
数据库系统概念 (原书第7版),Abraham Silberschatz Henry F. Korth S. Sudarshan / 2021 / 机械工业出版社,9.7,2024-09-16 22:57:19
见证逆潮,付鹏 / 2024 / 电子工业出版社,7.6,2024-09-15 13:04:08
穿透会计舞弊,[美] 塞西尔·杰克逊 / 2021 / 中国人民大学出版社,0.0,2024-08-11 17:52:36
用后即弃的人,[美]凯文·贝尔斯 / 2019 / 南京大学出版社,7.6,2024-08-09 12:36:27
县中,杨华 / 2024 / 当代中国出版社 重庆出版社,6.0,2024-07-29 09:24:49
