标题,简介,豆瓣评分,创建时间,我的评分
山海旅人 The Rewinder,横版过关/角色扮演/冒险/PC/Mac/Xbox Series X/Nintendo Switch/Xbox One/2021-09-10,8.7,2025-05-06 16:14:28,4
完蛋！我被美女包围了！,Love Is All Around/文字冒险/PC/Mac/iPhone/Android/PlayStation 5/Xbox Series X/Nintendo Switch/PlayStation 4/Xbox One/2023-10-18,7.7,2025-05-06 16:14:09,5
艾尔登法环 Elden Ring,"艾爾登法環/老头环/上古之环/エルデンリング/角色扮演/冒险/动作/PC/PlayStation 5/Xbox Series X/Nintendo Switch 2/PlayStation 4/Xbox One/FromSoftware, Inc./2022-02-25",9.4,2025-05-06 16:13:05,5
求生之路2 Left 4 Dead 2,L4D2/惡靈勢力 2/第一人称射击/射击/冒险/动作/PC/Mac/Linux/Xbox 360/Valve Corporation/2009-11-17,9.0,2025-05-06 16:09:56,4
森林 The Forest,角色扮演/冒险/PC/PlayStation 4/Steam VR/Endnight Games/2018-05-01,8.5,2025-05-06 16:09:12,4
死亡搁浅 DEATH STRANDING,死の座礁/冒险/动作/PC/Mac/iPad/PlayStation 5/Xbox Series X/PlayStation 4/Kojima Productions/2019-11-08,9.3,2025-05-06 16:08:38,5
壁纸引擎 Wallpaper Engine,模拟/PC/2016-10-10,9.6,2025-05-06 16:08:19,5
黑道圣徒3 Saints Row: The Third,"黑街圣徒3/射击/冒险/动作/PC/Linux/PlayStation 5/Xbox Series X/Nintendo Switch/PlayStation 4/Xbox One/PlayStation 3/Xbox 360/Deep Silver Volition, Inc./2011-11-15",8.6,2025-05-06 16:03:55,5
炉石传说：魔兽英雄传 Hearthstone: Heroes of Warcraft,炉石传说/卡牌/PC/Mac/iPhone/iPad/Android/Blizzard Entertainment/2014-03-11,8.7,2025-05-01 23:30:28,5
穿越火线 크로스파이어,CrossFire/CF/第一人称射击/大型多人在线/PC/2007-05-03,6.5,2025-05-01 23:30:05,5
黑神话：悟空 Black Myth: Wukong,黑神話：悟空/黑神话之悟空/角色扮演/冒险/动作/PC/PlayStation 5/2024-08-20,9.3,2025-04-25 21:58:40,5
杀戮尖塔 Slay the Spire,屠戮高塔/尖塔奇兵/横版过关/卡牌/角色扮演/策略/PC/Mac/Linux/iPhone/iPad/Android/Nintendo Switch/Steam Deck/PlayStation 4/Xbox One/2019-01-23,9.4,2025-04-25 21:58:20,5
无主之地3 Borderlands 3,边缘禁地3/邊緣禁地3/第一人称射击/角色扮演/冒险/动作/PC/PlayStation 5/Xbox Series X/Nintendo Switch/PlayStation 4/Xbox One/2019-09-13,8.4,2025-04-25 21:58:08,4
热血无赖：终极版 Sleeping Dogs: Definitive Edition,射击/冒险/动作/PC/Mac/Xbox Series X/PlayStation 4/Xbox One/2014-10-08,8.9,2025-04-25 21:57:49,5
赛博朋克 2077 Cyberpunk 2077,电驭叛客2077/電馭叛客 2077/夜之城2077/第一人称射击/角色扮演/冒险/动作/PC/Mac/PlayStation 5/Xbox Series X/Steam Deck/PlayStation 4/Xbox One/CD Projekt RED Sp. z o.o./2020-12-10,8.5,2025-04-25 21:56:42,5
