标题,简介,豆瓣评分,创建时间,我的评分
马勒冈的超级男孩,2024 / 印度 / 剧情 喜剧 / 里马·卡蒂 / 阿达什·古拉夫 Manjiri Pupala,0.0,2025-05-11 19:22:01,4
惊天魔盗团,2013 / 美国 法国 / 剧情 悬疑 犯罪 / 路易斯·莱特里尔 / 杰西·艾森伯格 艾拉·菲舍尔,7.8,2025-05-03 12:54:07,4
唐探1900,2025 / 中国大陆 中国香港 / 喜剧 动作 悬疑 / 陈思诚 戴墨 / 王宝强 刘昊然,6.5,2025-05-02 14:00:17,4
恶缘,2025 / 韩国 / 剧情 惊悚 犯罪 / 李日炯 / 朴海秀 申敏儿,8.4,2025-05-02 11:58:51,4
穿越火线,2020 / 中国大陆 / 剧情 奇幻 / 许宏宇 / 鹿晗 吴磊,7.9,2025-05-01 23:29:51,5
好小子们,2019 / 美国 / 喜剧 儿童 冒险 / 吉恩·斯图普尼兹基 / 雅各布·特伦布莱 基思·L·威廉姆斯,7.2,2025-05-01 23:29:15,5
爱，死亡和机器人 第一季,2019 / 美国 / 喜剧 科幻 动画 恐怖 奇幻 / 维克多·马尔多纳多 加布里埃尔·彭纳基奥利 阿尔弗雷多·托雷斯 弗兰克·巴尔森 阿尔贝托·米尔戈 蒂姆·米勒 达米安·纽诺 杰罗姆·陈 维塔利·舒舒科 欧文·沙利文 罗伯特·瓦利 戴夫·威尔逊 乔恩·叶 哈维尔·雷西奥·格雷西亚 / 斯科特·怀特 诺兰·诺斯,9.2,2025-04-28 23:42:42,5
黑镜 第七季,2025 / 美国 / 剧情 科幻 悬疑 惊悚 犯罪 / 阿丽·潘基乌 托比·海恩斯 王昊鹭 大卫·斯雷德 克里斯托弗·巴雷特 卢克·泰勒 / 拉什达·琼斯 克里斯·奥多德,8.7,2025-04-15 21:15:33,5
破·地狱,2024 / 中国香港 / 剧情 家庭 / 陈茂贤 / 黄子华 许冠文,8.4,2025-04-07 19:06:42,5
哪吒之魔童闹海,2025 / 中国大陆 / 剧情 喜剧 动画 奇幻 / 饺子 / 吕艳婷 囧森瑟夫,8.5,2025-02-05 20:38:33,5
谜一样的双眼,2009 / 阿根廷 西班牙 / 剧情 爱情 悬疑 犯罪 / 胡安·何塞·坎帕内利亚 / 里卡多·达林 索蕾达·维拉米尔,8.2,2025-02-04 22:49:24,4
长安三万里,2023 / 中国大陆 / 动画 历史 / 谢君伟 邹靖 / 杨天翔 凌振赫,8.3,2025-01-29 22:49:58,5
封神第二部：战火西岐,2025 / 中国大陆 / 动作 战争 奇幻 古装 / 乌尔善 / 黄渤 于适,5.8,2025-01-29 17:18:27,2
肇事逃逸,2021 / 美国 以色列 / 剧情 / 利奥·拉兹 格雷格·亨利,7.0,2025-01-19 20:00:15,3
雄狮少年2,2024 / 中国大陆 / 喜剧 动作 动画 / 孙海鹏 / 李昕 郭皓,8.5,2024-12-28 19:43:41,5
硅谷 第六季,2019 / 美国 / 喜剧 / 迈克·乔吉 / 托马斯·米德蒂奇 马丁·斯塔尔,9.4,2024-12-23 21:04:35,5
硅谷 第五季,2018 / 美国 / 喜剧 / 迈克·乔吉 / 托马斯·米德蒂奇 马丁·斯塔尔,9.2,2024-12-22 14:34:31,5
硅谷 第四季,2017 / 美国 / 喜剧 / 迈克·乔吉 / 托马斯·米德蒂奇 T·J·米勒,9.1,2024-12-18 20:10:29,5
硅谷 第三季,2016 / 美国 / 喜剧 / 迈克·乔吉 查理·麦克道威尔 埃里克·阿佩尔 詹米·巴比特 亚力克·博格 / 托马斯·米德蒂奇 扎克·伍兹,9.2,2024-12-13 20:43:37,5
硅谷 第二季,2015 / 美国 / 喜剧 / 迈克·乔吉 / 托马斯·米德蒂奇 T·J·米勒,9.2,2024-12-07 16:03:28,5
硅谷 第一季,2014 / 美国 / 喜剧 / 迈克·乔吉 亚力克·博格 / 托马斯·米德蒂奇 T·J·米勒,9.1,2024-12-07 16:03:19,5
影后,2024 / 中国台湾 / 剧情 喜剧 / 严艺文 / 谢盈萱 杨谨华,8.1,2025-04-07 13:02:48,5
谜探路德维希 第一季,2024 / 英国 / 喜剧 犯罪 / 罗伯特·麦奇洛 吉尔·罗伯森 / 大卫·米切尔 安娜·麦克西维尔·马丁,8.8,2024-12-30 19:48:45,4
焚城,2024 / 中国香港 中国大陆 / 剧情 动作 灾难 / 潘耀明 / 刘德华 白宇,6.9,2024-11-20 22:07:02,5
下辈子我再好好过 第一季,2020 / 日本 / 喜剧 爱情 / 三木康一郎 / 内田理央 太田莉菜,7.8,2024-10-04 13:01:09,5
变形金刚：起源,2024 / 美国 / 动作 科幻 动画 冒险 / 乔什·库雷 / 克里斯·海姆斯沃斯 布莱恩·泰里·亨利,8.0,2024-10-01 00:32:38,4
齐木楠雄的灾难 完结篇,2018 / 日本 / 喜剧 动画 奇幻 / 樱井弘明 则座诚 / 神谷浩史 小野大辅,9.4,2024-08-04 19:19:57,5
齐木楠雄的灾难 第二季,2018 / 日本 / 喜剧 动画 奇幻 / 樱井弘明 富永恒雄 则座诚 铃木行 筑紫大介 村田尚树 秦义人 本间修 牧野友映 铃木恭兵 佐佐木纯人 / 神谷浩史 小野大辅,9.4,2024-08-04 19:19:49,5
齐木楠雄的灾难,2016 / 日本 / 喜剧 动画 奇幻 / 樱井弘明 笠井贤一 则座诚 富永恒雄 高田耕一 相浦和也 永居慎平 奥野浩行 铃木拓磨 饭村正之 岛崎奈奈子 铃木轮流郎 宫田亮 / 神谷浩史 小野大辅,9.4,2024-08-04 19:19:39,5
解密,2024 / 中国大陆 / 剧情 历史 / 陈思诚 / 刘昊然 约翰·库萨克,6.0,2024-07-31 23:08:12,4
死侍与金刚狼,2024 / 美国 / 喜剧 动作 科幻 / 肖恩·利维 / 瑞安·雷诺兹 休·杰克曼,6.9,2024-07-28 12:31:12,5
葬送的芙莉莲,2023 / 日本 / 动画 奇幻 冒险 / 斋藤圭一郎 / 种崎敦美 冈本信彦,9.5,2025-03-19 19:25:29,5
斯巴达克斯：竞技场之神,2011 / 美国 / 动作 传记 冒险 / 杰西·沃恩 里克·雅各布森 迈克尔·赫斯特 布兰登·马赫 约翰·福西特 / 约翰·汉纳 马努·贝内特,8.8,2024-07-02 20:49:50,5
斯巴达克斯：血与沙 第一季,2010 / 美国 / 剧情 动作 传记 历史 冒险 / 里克·雅各布森 Grady Hall 杰西·沃恩 迈克尔·赫斯特 罗温·伍兹 克里斯·马丁-琼斯 格伦·斯坦德灵 / 安迪·惠特菲尔德 马努·贝内特,8.8,2024-06-28 22:27:33,5
新生,2024 / 中国大陆 / 剧情 悬疑 / 申奥 / 井柏然 周依然,7.0,2024-05-17 22:53:04,4
九龙城寨之围城,2024 / 中国香港 中国大陆 / 动作 犯罪 / 郑保瑞 / 古天乐 洪金宝,7.2,2024-05-06 00:33:16,4
追风者,2024 / 中国大陆 / 剧情 / 姚晓峰 / 王一博 李沁,7.8,2024-04-09 17:54:16,5
哥斯拉大战金刚2：帝国崛起,2024 / 美国 澳大利亚 / 动作 科幻 冒险 / 亚当·温加德 / 丽贝卡·豪尔 布莱恩·泰里·亨利,6.5,2024-04-05 01:13:11,4
狂蟒之灾,2024 / 中国大陆 / 惊悚 冒险 灾难 / 项秋良 项河生 / 尹子维 夏若妍,5.4,2024-03-19 23:26:50,3
艋舺,2010 / 中国台湾 / 剧情 动作 犯罪 / 钮承泽 / 赵又廷 阮经天,7.7,2024-03-18 18:28:33,4
沙丘2,2024 / 美国 加拿大 / 剧情 动作 科幻 冒险 / 丹尼斯·维伦纽瓦 / 提莫西·查拉梅 赞达亚,8.1,2024-03-11 23:13:54,5
子弹列车,2022 / 美国 日本 / 喜剧 动作 惊悚 / 大卫·雷奇 / 布拉德·皮特 乔伊·金,7.8,2024-03-07 14:50:53,5
周处除三害,2023 / 中国台湾 / 动作 犯罪 / 黄精甫 / 阮经天 袁富华,8.1,2024-03-03 00:01:07,5
鬼灭之刃：羁绊的奇迹以及柱训练,2024 / 日本 / 动画 / 外崎春雄 / 花江夏树 鬼头明里,7.9,2024-02-24 21:59:04,1
阿盖尔：神秘特工,2024 / 英国 美国 / 动作 惊悚 / 马修·沃恩 / 布莱丝·达拉斯·霍华德 山姆·洛克威尔,5.6,2024-02-23 18:32:05,4
飞驰人生2,2024 / 中国大陆 / 剧情 喜剧 运动 / 韩寒 / 沈腾 范丞丞,7.6,2024-02-19 16:37:41,5
金手指,2023 / 中国香港 中国大陆 / 剧情 犯罪 / 庄文强 / 梁朝伟 刘德华,6.1,2024-01-29 21:47:59,4
年会不能停！,2023 / 中国大陆 / 剧情 喜剧 / 董润年 / 大鹏 白客,8.1,2024-01-21 01:34:27,5
踏血寻梅,2015 / 中国香港 / 剧情 悬疑 犯罪 / 翁子光 / 郭富城 春夏,7.5,2024-01-17 13:30:30,4
名侦探柯南：黑铁的鱼影,2023 / 日本 / 动作 动画 悬疑 惊悚 犯罪 冒险 / 立川让 / 高山南 林原惠美,6.5,2023-12-25 12:18:41,3
拿破仑,2023 / 英国 美国 / 剧情 动作 传记 历史 战争 冒险 / 雷德利·斯科特 / 华金·菲尼克斯 凡妮莎·柯比,6.3,2023-12-14 13:05:50,2
剑雨,2010 / 中国大陆 中国香港 中国台湾 / 动作 爱情 武侠 古装 / 苏照彬 / 杨紫琼 郑雨盛,7.7,2023-11-29 13:50:42,5
饥饿游戏：鸣鸟与蛇之歌,2023 / 美国 / 剧情 动作 科幻 惊悚 战争 冒险 / 弗朗西斯·劳伦斯 / 汤姆·布莱斯 瑞秋·齐格勒,6.6,2023-11-28 16:18:11,5
触不可及,2011 / 法国 / 剧情 喜剧 / 奥利维埃·纳卡什 埃里克·托莱达诺 / 弗朗索瓦·克鲁塞 奥玛·希,9.3,2023-11-22 19:42:52,5
千钧一发,1997 / 美国 / 剧情 科幻 惊悚 / 安德鲁·尼科尔 / 伊桑·霍克 乌玛·瑟曼,8.8,2023-11-19 13:39:27,5
