标题,简介,豆瓣评分,创建时间,我的评分
13 67,陳浩基 / 2014 / 皇冠文化出版有限公司,9.1,2025-05-06 20:52:13,5
无人生还,[英] 阿加莎・克里斯蒂 / 2008 / 人民文学出版社,9.0,2025-05-06 20:46:27,5
城南旧事,林海音 文 关维兴 图 / 2003 / 中国青年出版社,9.1,2025-05-06 20:46:05,5
东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 2006 / 人民文学出版社,9.1,2025-05-06 20:45:53,5
麦田里的守望者,[美国] J. D. 塞林格 / 2007 / 译林出版社,8.1,2025-05-05 13:46:23,5
财务BP:方法与案例,郭亮 / 2023 / 机械工业出版社,5.4,2025-04-28 18:04:58,3
计算广告（第3版）,刘鹏 王超 / 2022 / 人民邮电出版社,8.6,2025-03-24 21:59:39,5
动物农场,[英]乔治·奥威尔 / 2010 / 上海译文出版社,9.5,2025-01-12 22:03:36,5
SQL必知必会（第5版）,[美] 本·福达（Ben Forta） / 2020 / 人民邮电出版社,9.0,2024-10-20 17:24:21,5
MySQL是怎样使用的 快速入门MySQL,小孩子4919 / 2021 / 人民邮电出版社,8.9,2024-10-05 22:41:59,4
长安的荔枝,马伯庸 / 2022 / 湖南文艺出版社,8.5,2024-09-15 13:43:18,5
估值原理,周洛华 / 2022 / 上海财经大学出版社,8.8,2025-02-22 22:21:23,5
动荡时代,[日]白川方明 / 2021 / 中信出版集团,8.7,2025-01-13 18:27:58,4
资产管理,[美] Andrew Ang（洪崇理） / 2017 / 中国发展出版社,8.7,2024-06-04 07:57:08,4
老板财税管控一本通 为零财务基础的创业者量身打造 蔡宛桐,蔡宛桐 著 / 北京大学出版社,0.0,2024-06-02 16:28:02,3
寻觅意义,王德峰 / 2022 / 山东文艺出版社,8.5,2024-09-11 20:34:04,5
投资中最简单的事,邱国鹭 / 2014 / 中国人民大学出版社,8.7,2024-06-02 16:38:02,4
窗边的小豆豆,[日] 黑柳彻子 著 岩崎千弘 图 / 2003 / 南海出版公司,8.9,2023-11-15 11:50:02,5
证券分析师实践指南,詹姆斯·J.瓦伦丁 / 2018 / 机械工业出版社,8.3,2024-09-11 20:34:25,4
股市进阶之道,李杰 / 2014 / 中国铁道出版社,8.7,2024-09-11 20:34:36,4
金融经济学二十五讲,徐高 / 2018 / 中国人民大学出版社,9.6,2024-06-08 17:31:40,5
穿透财报,邹佩轩 / 2023 / 人民邮电出版社,8.7,2024-02-18 15:44:47,5
致敬，我们的市场,上海申银万国证券研究所有限公司 / 上海人民出版社,0.0,2024-06-02 16:28:31,4
宏观经济数据分析手册,李奇霖 / 2021 / 上海财经大学出版社,9.1,2023-09-16 23:21:26,4
金榜题名之后,郑雅君 / 2023 / 上海三联书店,8.4,2023-06-14 00:17:46,5
估值建模,诚迅金融培训公司实用投融资分析师认证考试教材编写组 / 2011 / 中国金融出版社,9.1,2024-06-02 16:39:29,4
黑格尔,[英] 埃德蒙·斯宾塞 著 安德泽耶·克劳泽 绘 / 2019 / 生活·读书·新知三联书店,8.0,2023-05-25 16:54:24,3
图画通识丛书：亚里士多德,[英]鲁珀特·伍德芬（Rupert Woodfin）/ 文 [英]朱迪·格罗夫斯（Judy Groves）/ 图 / 2020 / 生活·读书·新知三联书店,8.5,2023-05-24 16:02:47,4
饥饿游戏三部曲,[美] 苏珊·柯林斯 / 2013 / 作家出版社,8.2,2023-04-28 14:55:18,4
会读才会写,菲利普·钟和顺 / 2015 / 重庆大学出版社,8.7,2023-05-23 16:42:12,4
中国投行,金融小伙伴 / 2018 / 中国市场出版社,7.4,2022-08-25 16:35:17,5
论证是一门学问 (第五版),[美]安东尼·韦斯顿 / 2019 / 天地出版社,8.2,2024-06-02 16:46:36,3
故事便利店,骆以军 / 2022 / 河南文艺出版社,7.8,2022-08-10 23:50:16,4
结构性改革,黄奇帆 / 2020 / 中信出版社,8.9,2022-09-14 00:11:05,5
大国大城,陆铭 / 2016 / 上海人民出版社,8.7,2022-08-21 23:09:15,5
置身事内,兰小欢 / 2021 / 上海人民出版社,9.1,2022-07-23 22:37:44,5
